Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,Data Approvazione
Digital Innovation Hub Vicenza - Confartigianato Vicenza,Copernicus Hackathon Vicenza,"Copernicus è il più importante programma di Osservazione Terrestre (EO) promosso dall’Unione Europea con l’obiettivo di analizzare e monitorare il pianeta Terra a vantaggio dell’intera società. Per raggiungere lo scopo, Copernicus offre la possibilità di utilizzare una vasta gamma di dati messi a disposizione dall’Unione Europea in modo totalmente gratuito e accessibile. I dati, che vengono raccolti da numerosi satelliti, sistemi di rilevazione terrestre “in situ”, marina e aerea, riguardano prevalentemente le grandi sfide che la nostra società deve affrontare giorno dopo giorno come: le energie rinnovabili, la sicurezza alimentare, la riduzione dei rischi da disastro, la mitigazione e l’adattamento al cambiamento climatico.
Il Copernicus Hackathon rientra nel programma Copernicus dell’Unione Europea e vede il coinvolgimento di sviluppatori, imprenditori ed esperti del settore nello sviluppo di nuove informazioni utili e idee innovative basate sui dati operativi e i servizi di informazione raccolti. L'evento è organizzato dal Digital Innovation Hub di Confartigianato Imprese Vicenza con il patrocinio di Asi, ESA, Ispra, Arpav, Serco e Ca' Foscari.
Questa edizione del Copernicus Hackathon vuole, quindi, incoraggiare l’utilizzo dei dati Copernicus e le tecnologie IOT per sviluppare servizi downstream ad elevato valore aggiunto e che siano in grado di portare beneficio alle Piccole e Medie Imprese del nostro territorio e alle pubbliche amministrazioni locali. In modo particolare sono state identificate quattro macro aree:
- Trasporti e Mobilità Sostenibile
- Machine Learning e Intelligenza
- Cyber Security
- Protezione ambientale e cambiamento climatico
Partendo da una vasta gamma di dati per arrivare allo sviluppo di soluzioni innovative in ambito di space economy sarà la sfida di questa “Maratona di Cervelli in Epoca Digitale”. Partecipare al Copernicus Hackathon significa quindi immergersi completamente in tematiche attuali e che ci interessano da vicino tutti i giorni. Due giorni intensi in cui ci si potrà mettere in gioco lavorando in team interdisciplinari, condividere e sperimentare il mondo digital in tutte le sue forme. ","Studenti, Cittadini, Imprese, Startup",15-16 febbraio 2020,"Progetti sviluppati, Partecipanti, Visibilità sui media","ESA, ASI, Ca Foscari, Ispra, Unione Europea, Confartigianato Imprese Vicenza, Comune di Vicenza",2019-10-28 23:13:15
Digital Transformation Institute,Tech economy 2030,"Il Digital Transformation Institute, centro di ricerca volto allo studio delle dinamiche della  trasformazione digitale e del suo contributo alla sostenibilità ambientale, culturale, sociale ed economica, ha attivato il progetto #SostenibilitàDigitale, volto a favorire la trasformazione digitale del Paese nel campo dell’educazione al digitale, in linea con della cittadinanza digitale e dell’innovazione sostenibile ed etica. In particolar modo, in linea con i principi del manifesto per la Repubblica Digitale, intende supportare la nascita, la promozione e la realizzazione di iniziative che utilizzino la tecnologia digitale come strumento funzionale alla costruzione di un mondo sostenibile, così come indicato dalle Nazioni Unite con Agenda 2030.
In particolar modo, l'iniziativa riguarda Tech economy 2030.
Tech economy 2030 tratta quotidianamente i temi dell’innovazione tecnologica declinandoli sulle questioni connesse alla sostenibilità, così da contribuire ad abbattere quel muro fatto di diffidenza, inconsapevolezza o semplice distanza culturale esistente tra i due mondi, quello della sostenibilità e quello dell’innovazione digitale, che soltanto toccandosi possono invece sviluppare quelle condizioni necessarie al perseguimento degli obiettivi di Agenda 2030.","Tech economy 2030 si rivolge alla società civile, alla comunità scolastica (famiglie, studenti, corpo docente), alle imprese e alle Associazioni di categoria, al mondo della ricerca, alla Pubblica Amministrazione, alle Associazioni. ",Le attività sopradescritte sono già in corso e saranno sviluppate nel corso del 2020.,"a.        N. di utenti / mese
b.    coefficiente di engagement sui social
","Tutte le iniziative saranno realizzate con il supporto degli esperti che compongono il Comitato scientifico e il Comitato di Indirizzo del DTI e dei partner del DTI e di Tech economy (Facebook, ENI, CISCO, Google, Confcommercio, Università Degli Studi Di Urbino - Dipartimento Di Scienze Della Comunicazione, Studi Umanistici E Internazionali, Università Degli Studi Di Palermo - Dipartimento Di Architettura, Cotec - Fondazione Per L'innovazione, Coris Sapienza Roma - Dipartimento Di Comunicazione E Ricerca Sociale, SWG, CFMT, Istituto Di Studi Politici S. Pio V, Engineering)",2020-01-10 09:18:14
Domanipress,Domanipress 4Future,"Domanipress 4Future è l'approfondimento della testata giornalistica Domanipress, diretta da Simone Intermite, dedicato alla diffusione dell'innovazione digitale e della tecnologia sostenibile realizzato con Talks Esclusivi su Digital Transformation, Sostenibilità, Robotica, Startup, Design, Coding e Comunicazione. Stakeholder nazionali ed interazionali, innovatori e startupper più avanzati e visionari al livello mondiale, si raccontano con interviste ed incontri esclusivi suddivisi per temi ed #hashtag con l'obiettivo di diffondere la conoscenza relativa alla rapida evoluzione delle nuove tecnologie, accrescere la consapevolezza del cambiamento culturale in atto ed ispirare modelli di business innovativi.","Lettori del magazine Domanipress. Il pubblico di riferimento della sezione dedicata alla tecnologia lanciata sul portale è eterogeneo interessa un’ampia fetta di popolazione in termini anagrafici e geografici, comprendendo i lettori assidui di Domanipress ",3 anni,"Utilizzo di tools di monitoraggio: visitatori unici  (dati tracciati tramite metriche google analytics), lettori dei maggiori aggregatori di notizie come Google News - Samsung News - Msn News - Zazoom, con dettaglio di genere e geografico. ",,2019-11-29 09:13:02
Edupuntozero S.r.l.,SIRE (Scuola Internazionale di Robotica Educativa),"EduPuntoZero, da oltre dieci anni si occupa di portare competenze scientifiche nelle scuole pubbliche di Roma, guidando gli studenti in percorsi che hanno spaziato dal disegno automatico, alla realtà virtuale, dalla creazione di videogame alla creazione di applicazioni mobili, sia in corsi di formazione extracurriculari che curriculari e in percorsi di Alternanza Scuola Lavoro che sono risultati vincitori di decine di PON (programma operativo nazionale), da via al progetto SIRE, la prima Scuola Italiana di Robotica educativa, in collaborazione con partner di elevato rilievo come: Dipartimento di Robotica dell’Università di Genova, Intesa San Paolo Formazione, liceo Kennedy di Roma e tanti altri.
La robotica educativa è un metodo applicabile principalmente all’ insegnamento delle materie STEM (Scienze, Tecnologia, Ingegneria e Matematica), che utilizza i robot. 
Sire ha come obiettivo principale quello di formare gli studenti degli istituti di istruzione secondaria di primo e secondo ordine in percorsi di Robotica educativa, finalizzati all’apprendimento di competenze tecniche e digitali e all’uso del coding per sviluppare negli studenti la capacità di risolvere problematiche attraverso l’utilizzo della logica. Verranno proposti anche percorsi mirati ai docenti che dovranno apprendere le stesse tematiche ma anche le modalità affinché queste tecniche possano essere utilizzare nell’insegnamento delle loro materie all’interno delle ore curriculari, di fondamentale importanza infatti sarà la scalabilità del progetto e la sostenibilità che utilizzerà studenti e docenti come “risorse rinnovabili”.
Presso il Liceo Kennedy di Roma è stato attrezzato un laboratorio con degli umanoidi NAO che verranno utilizzati durante i corsi dal vivo e studiati a distanza nei percorsi e-learning e e-teaching, per raggiungere qualsiasi tipo di istituto tramite piattaforma MOODLE (open source).
In virtù di nuove tecnologie didattiche, avremo ricadute anche in questo senso, dal momento che i docenti delle scuole impareranno a progettare corsi in FAD, rafforzando competenze digitali trasversali (come creazione di videocoferenze, montaggio video, e creazione di contenuti multimediali in genere, riutilizzabili per ogni tipo di lezione).
La scuola resterà aperta tutto il giorno, come nella vecchia idea dei laboratori territoriali del MIUR, per renderla una piccola “Agorà” digitale, rivolgendosi anche al territorio e ai cittadini, intercettando in primo luogo genitori e nonni degli studenti.
Sono stati già pianificati viaggi d'istruzione con PCTO per molte scuole di altre regioni che hanno manifestato interesse all'iniziativa. Inoltre la dirigente scolastica ha pianificato dei progetti di Erasmus Plus per accogliere anche studenti stranieri e far conoscere il progetto a livello europeo. Il percorso formativo sarà ciclico e seguirà l'anno scolastico prevedendo, se necessario, una summer school nel mese di luglio. Al termine del secondo anno i partner hanno pianificato di ""esportare"" l'idea progettuale in molte altre scuole italiane, replicando il format nel caso risultasse particolarmente efficace. 
L'attività formativa e la sua efficacia saranno monitorate dalla facoltà di Psicologia e Medica della Sapienza Università di Roma che sarà membro della partnership.","Studenti di scuole secondarie di primo e secondo grado, insegnanti",a partire dalla primavera 2020,"La valutazione verrà effettuata misurando il numero di partecipanti alle diverse attività previste
* studenti
* docenti
* istituti scolastici","Dipartimento Dibris Università di Genova, Facoltà di Medicina e Psicologia della Sapienza Università di ROma, Intesa San Paolo Formazione, Liceo Kennedy di Roma",2019-12-11 19:46:08
European Grants International Academy,Social Hackathon Umbria,"Nata come evento finale italiano del progetto Generation010101, la prima edizione del Social Hackathon Umbria (http://www.socialhackathonumbria.info/), #SHU2016, ha subito dimostrato di avere un impatto positivo e sostenibile su tutti gli attori coinvolti nel processo di co-creazione di soluzioni digitali alle sfide della società. L'iniziativa è stata realizzata negli ultimi quattro anni coinvolgendo un numero crescente di partecipanti (da 80 nel 2016 a più di 160 nel 2019) che hanno beneficiato di diverse attività di apprendimento realizzate in un arco temporale di 3-4 mesi.
La metodologia di formazione SHU prevede infatti il coinvolgimento di due gruppi target principali: 
    • giovani studenti che seguono un programma di formazione strutturato su una o più competenze digitali per migliorare il loro profilo professionale e mettere in pratica ciò che hanno imparato contribuendo allo sviluppo di soluzioni digitali che rispondono a specifiche sfide sociali (agendo come junior hacker durante l'hackathon finale); 
    • rappresentanti di enti pubblici o privati che sono attivi a livello sociale e che hanno un interesse personale o istituzionale nell'identificazione e nello sviluppo di una soluzione digitale a un problema sociale (agendo come ""challenge givers"" e partecipando attivamente all'evento).     
Il punto di forza principale di SHU è quello di basare l'intero processo sul potenziale educativo che un'esperienza di co-creazione potrebbe offrire a tutti i partecipanti, indipendentemente dal loro livello di competenza digitale e dal loro profilo professionale o personale. Pertanto, sulla base del focus annuale di ogni singola edizione di SHU, diversi gruppi specifici sono stati invitati a partecipare all'evento finale, che dura 48 ore e rappresenta la fase finale di un processo a lungo termine in cui tutti i partecipanti hanno finalmente la sensazione di aver vinto qualcosa, indipendentemente dal fatto che siano stati effettivamente premiati con una targa o un premio. 
Le scorse quattro edizioni del Social Hackathon Umbria sono state incentrate su (2016) digitale per il non profit – (2017) digitale per il patrimonio culturale – (2018) digitale per l'imprenditorialità e l'occupazione – (2019) digitale per l'ambiente, coinvolgendo:
    • 180 tra NEET, giovani disoccupati e rifugiati che hanno frequentato uno o più corsi di formazione, con una durata media di 30 ore ciascuno, in web design, strumenti di collaborazione online, e-journalism, coding, sviluppo di applicazioni mobili, video digitali, sviluppo di videogiochi, narrazione digitale, produzione di contenuti in realtà aumentata e graphic design 
    • 80 tra organizzazioni no profit, imprese sociali, associazioni, enti pubblici e singoli innovatori sociali di tutta Europa hanno applicato con una proposta per lo sviluppo di una soluzione digitale ad un problema sociale
    • 250 studenti delle scuole superiori hanno partecipato all'evento a diversi livelli: come membri dei team di co-sviluppo, sostenendo il team di copertura mediatica, partecipando ad eventi paralleli e workshop
    • 24 soluzioni digitali concrete (6 ogni anno) sono state sviluppate e condivise con licenza Creative Commons CC BY-NC 3.0 IT
Inoltre, ogni anno, 100-150 tra esperti, appassionati del digitale, bambini con genitori e nonni, e molti altri curiosi partecipano ai vari eventi collaterali promossi durante l'evento principale (aperti solo ai partecipanti accreditati): sessioni di giuria sociale, playzone, mostre digitali e tour della città, workshop e seminari. 
La prossima edizione del Social Hackathon Umbria è prevista per la prima settimana di luglio 2020. Date e location saranno confermate nelle prossime settimane. Per rimanere aggiornati è sufficiente visitare il nostro sito Internet http://www.socialhackathonumbria.info/ o seguire la nostra pagina Facebook https://www.facebook.com/SHUMBRIA/.
.","SHU2020 prevede la partecipazione e collaborazione di giovani ed adulti coinvolti in percorsi formativi incentrati sullo sviluppo delle competenze digitali e/o di imprenditorialità per lo sviluppo sostenibile.
All’evento saranno inoltre presenti alcune figure di supporto:
- I team manager con funzione di intermediazione tra i rappresentati delle organizzazioni selezionate e i partecipanti, nonché di coordinamento del team di
sviluppo per tutta la durata dell’evento.
- Almeno un rappresentante per ogni organizzazione selezionata, al fine di assicurare coerenza e rilevanza nella realizzazione dei progetti presentati in fase di candidatura.
- Una squadra dedicata alla documentazione e diffusione mediatica dell’evento.
- Staff di supporto e responsabili alla sicurezza.",Le attività di formazione e sensibilizzazione inizieranno ad aprile 2020 per concludersi con l'evento principale del 25-28 giugno. ,"Il modello di valutazione del Social Hackathon Umbria prevede da sempre tre tipologie di valutazione dell'impatto:
- una di carattere pedagogico, volto a verificare quanto la partecipazione all'iniziativa ha contributo a sviluppare le competenze digitali e trasversali di tutti coloro che contribuiscono alla co-creazione delle soluzioni digitali;
- una di carattere sociale, attraverso la partecipazione di una Social Jury nella valutazione e selezione dei progetti a cui verranno assegnati i premi e i riconoscimenti definiti di anno in anno;
- una di carattere tecnico-scientifico, con la costituzione di una Expert Jury composta da rappresentanti del mondo dell'innovazione sociale e digitale che contribuiscono in prima istanza alla capacity building dei partecipanti a SHU e in secondo luogo alla selezione finale dei vincitori. . 

Sarà valutato anche il numero di partecipanti alle diverse attività previste","Stati Generali dell'Innovazione, NeXT - Nuova Economia per Tutti, ALL DIGITAL",2019-12-26 20:12:12
Facebook,Vagone FMD. Da 01 a 100,"“Vagone FMD. Da 01 a 100” è il programma che la Fondazione Mondo Digitale, insieme a Facebook, porta avanti da ottobre 2018 all’interno di Binario F, lo spazio di Facebook a Roma dedicato allo sviluppo delle competenze digitali. 
Un programma di inclusione aperto all’intera comunità per sensibilizzare e formare cittadini di tutte le età sul tema delle #digitalskills per crescere a livello personale, integrarsi in una società digitale in continua trasformazione e aumentare le proprie possibilità nel mercato del lavoro. Un vero e proprio “vagone dell’inclusione” dove il digitale e le opportunità da questo offerte diventano accessibili per tutti, nessuno escluso. 

Il programma si configura come un vero e proprio servizio pubblico per la collettività e si articola lungo due linee di intervento:

• Alfabetizzazione digitale: corsi di alfabetizzazione digitale coinvolgono i destinatari più “invisibili” e “irraggiungibili”, dalle casalinghe agli anziani e i migranti: in aula, insieme agli studenti delle scuole superiori nel ruolo di ITutor, imparano a navigare in Rete per non sentirsi esclusi e partecipare attivamente alla vita della città. I giovani prendono parte ai laboratori sulle professioni del futuro mentre percorsi di re-skill sono dedicati a donne, dipendenti del Terzo settore, liberi professionisti e pubblica amministrazione.

• Cultura digitale: attraverso il programma “Vagone FMD. Da 01 a 100” la Fondazione Mondo Digitale propone anche sessioni brevi e agili per appassionare le persone “comuni” alla cultura digitale e alle sfide della contemporaneità: incontri con esperti sono pensati per far riflettere su tematiche attuali quali sicurezza in rete, privacy, fake news, hate speech, etica e robotica, intelligenza artificiale, cyberbullismo, ecc…","Target volutamente eterogenei: Dai bambini agli anziani, dalle imprese agli individui. ",Settembre 2018 - Settembre 2020,"I NUMERI
Da ottobre 2018 a luglio 2019 “Vagone FMD. Da 01 a 100” ha raggiunto oltre 2.000 persone attraverso 113 eventi formativi in presenza. Entro la fine dell’anno il progetto arriverà a coinvolgere complessivamente quasi 3.500 cittadini per un totale di più di 150 incontri gratuiti presso Binario F. 

IL RACCONTO
Storie di successo, testimonianze, racconti individuali e corali vengono raccolti settimanalmente nel blog “Vagone FMD” attraverso articoli, video interviste, immagini e animazioni. Un gruppo dedicato sulla pagina Facebook della Fondazione Mondo Digitale riunisce l’intera community che ruota attorno al programma, così come incontri e happy hour diventano il modo per scambiarsi opinioni ed esperienze, presentare storie ispiratrici e condividere best practice.",Fondazione Mondo Digitale,2019-09-18 16:07:57
FamigliAttiva ODV,Progetto TecnoAwareness    ,"Progetto TecnoAwareness                (consapevolezza delle nuove tecnologie)
FamigliAttiva ODV è una associazione di volontariato che ha, fra i propri obiettivi, il supportare le famiglie per affrontare al meglio le sfide che la quotidianità impone loro.
Le nuove tecnologie, ormai pervasive ed imprescindibili, non possono che essere, quindi, al centro della nostra attenzione.
Il nostro scopo è di diffondere consapevolezza di come funzionano, quali rischi nascondono e, soprattutto, quali opportunità offrono gli strumenti tecnologici che tutti quotidianamente utilizziamo.
Ci rivolgiamo particolarmente ai ragazzi, in quanto ne sono i principali e non sempre consapevoli fruitori.
La nostra offerta formativa include il coding, l’introduzione ai principi di funzionamento dell’hardware e della robotica, l’organizzazione di convegni su rischi ed opportunità delle nuove tecnologie, netiquette, identità digitale, sicurezza online, cyberbullismo, intelligenza artificiale, ecc...
Ci auguriamo che tutto questo possa aiutarli a diventare cittadini digitali corretti, attivi e creativi, con la piena coscienza che la tecnologia è, e sarà, sempre più importante nella vita privata, sociale e professionale di tutti noi.
 Le nostre attività, tutte proposte a titolo gratuito, sono:
CoderDojo
Si tratta di incontri, normalmente della durata di 3 ore, organizzati nei fine settimana, in cui utilizziamo Scratch, un programma sviluppato per questo fine dall’M.I.T. di Boston, per introdurre i ragazzi al coding ed alla logica computazionale. 
TeacherDojo
Sono delle sessioni riservate ai docenti, durante le quali presentiamo agli insegnanti le attività ed i principi del CoderDojo e li introduciamo all’utilizzo di Scratch quale possibile strumento di insegnamento del coding e del pensiero computazionale nelle scuole.
CoderDojo@school
Si tratta di CoderDojo gestiti dai nostri volontari all’interno delle scuole, nelle aule di informatica esistenti. Per questi le iscrizioni non vengono gestite da noi ma dalla scuola.
English CoderDojo
Sono degli incontri gestiti come i CoderDojo normali, ma condotti completamente in inglese.  Cerchiamo con questi di unire la conoscenza della logica computazionale con quella dell’inglese, lingua indispensabile ai nostri ragazzi per costruire il proprio futuro.
RoboDojo
La robotica educativa è un approccio molto coinvolgente a materie fondamentali nei nostri tempi quali scienza, matematica, informatica, la robotica stessa.
Come nel coding, favorisce lo sviluppo del pensiero computazionale, della curiosità, della capacità di analisi e di risoluzione dei problemi, non utilizzando noiose lezioni ma esercizi pratici e divertenti.
In questi incontri, articolati su due giornate, utilizziamo gli mBot, dei piccoli robot progettati appositamente per la didattica.
HardwareDojo
Durante questo incontri spieghiamo ai ragazzi cos’è veramente un personal computer, come funziona, come è fatto e che analogie ci sono fra un personal computer, un tablet o uno smartphone.
Queste apparecchiature sono ormai onnipresenti nella nostra vita, qualunque cosa facciamo. E’ importante, quindi, sapere come funzionano, per utilizzarle al meglio e saper scegliere quale a noi veramente serve. L’HardwareDojo dura tre ore, durante le quali scopriamo come è fatto un personal computer, quali componenti elettronici lo compongono e che funzione hanno. Questo mentre, guidati dai nostri Mentor, ne assembliamo uno insieme, partendo dal case (la scatola esterna) completamente vuoto.
Unplugged CoderDojo
Sono incontri dedicati ai ragazzi fra i 7 ed i 10 anni, durante i quali, giocando con CodyRoby, un gioco da tavolo ideato dall’università di Urbino, li introduciamo alla logica computazionale senza utilizzare i computer,
Convegni
Organizziamo periodicamente degli incontri, dedicati a genitori e ragazzi insieme, su molti argomenti, fra cui anche quali rischi presentano e quali opportunità offrono le nuove tecnologie. Lo scopo è di informare e cercare di stimolare un dialogo, un confronto fra genitori e figli su questi argomenti.

Per approfondire e trovare documentazione sulle nostre attività:
http://www.famigliattiva.org
o sulla nostra pagina facebook: https://www.facebook.com/FamigliAttiva/","Ragazzi dai 7 ai 14 anni
Docenti
Genitori","Iniziato nel febbraio del 2015. Si intende proseguire con queste attività anche in futuro, senza una data di fine del progetto stesso.","Per verificare se i nostri interventi sono efficaci, utilizziamo i feedback che riceviamo da chi partecipa ai nostri eventi:
1) ai ragazzi, dopo ogni CoderDojo, HardwareDojo o Robodojo, chiediamo di compilare una form per esprimere il loro gradimento sull'iniziativa.
2) verifichiamo la fidelizzazione, ovvero: normalmente, chi partecipa ad uno dei nostri eventi, poi si iscrive anche agli altri. Questo ci permette anche di verificare se i ragazzi hanno acquisito le competenze che erano obbiettivo degli incontri precedenti.
3) gestiamo le iscrizioni agli eventi online, ed i posti disponibili si esauriscono sempre dopo poche ore dall'apertura delle iscrizioni, segno che i genitori ripongono fiducia nelle nostre attività.
4) ai nostri eventi partecipano ragazzi provenienti non solo dalla nostra città ma da tutto il Friuli Venezia Giulia.
5) riceviamo costantemente richieste di collaborazione da parte degli istituti comprensivi del nostro territorio, alle quali rispondiamo per organizzare incontri di formazione per i docenti, con l'auspicio che si facciamo portatori di queste iniziative nelle loro scuole. Con l'istituto comprensivo di Palmanova, invece, abbiamo avviato una collaborazione che prevede la realizzazione dei nostri eventi ""coderdojo@school"", gestiti dai nostri volontari, a scuola in orario curriculare.
6) abbiamo ottenuto il riconoscimento delle nostre attività da parte della ""Fondazione IBM"", la fondazione gestita dalla omonima azienda americana, e del ""Gruppo Pittini"", importante gruppo industriale friulano, che per sostenerci ci hanno donato in totale 37 fra notebook e personal computer.

Non prevediamo, ne lo faremo in futuro, verifiche o esami ai partecipanti alle nostre iniziative. Volutamente vogliamo che i ragazzi con noi si divertano ed imparino i principi dell'""Hard Fun"" e del ""Creative Learning"". Ci auguriamo di riuscire a stimolare la loro curiosità e far nascere in loro la passione per la conoscenza delle tecnologie.
",,2019-12-05 09:19:03
Fondazione IBM Italia,P-Tech,"P-Tech è un nuovo modello educativo di formazione al digitale che IBM lancia da quest’anno anche in Italia per rispondere alla esigenza di creare le nuove competenze oggi necessarie in tutti i settori. P-Tech si basa sulla collaborazione tra soggetti pubblici e privati, preparando i giovani a nuove tipologie di lavoro basate sull’uso della tecnologia creando nuove opportunità occupazionali e contribuendo in prospettiva alla crescita del Paese. L'impegno della Fondazione IBM Italia quindi è volto a creare le premesse per una tecnologia inclusiva che non lasci indietro nessuno e che possa favorire l’accesso a un’istruzione di alta qualità. Il P-Tech parte in Italia da Taranto, creando una collaborazione virtuosa tra scuole, Università, aziende e attori chiave del territorio.",Studenti,Il progetto P-Tech parte a settembre da Taranto e durerà 6 anni. E' prevista l'estensione del progetto ad altre realtà interessate.,Numero di studenti formati nelle nuove tecnolgie nel territorio interessato,"Scuole, Università, Istituzioni competenti, altre aziende e partner del territorio interessati",2019-09-04 19:02:31
Fondazione IBM Italia,progetto “NERD” (Non E' Roba per Donne?),"NERD non è roba per donne

Il progetto N.E.R.D., nato dall'idea di Floriana Filomena Ferrara di IBM Italia, nel 2013 in collaborazione con la professoressa Velardi dell’Università “La Sapienza” di Roma, e ad oggi presente in altre 15 università e politecnici italiani presenti su tutto il territorio. Questo progetto, grazie soprattutto all’energia di 100 delle IBMVolunteers, offre alle studentesse due mesi di tempo per misurarsi con la tecnologia. Le facoltà d'Informatica approno i loro laboratori il venerdi' pomeriggio lasicando entrare centinaia di ragazze delle scuole superiori. Future donne provenienti da diversi percorsi di studi, che assaggiano, spesso per la prima volta il mondo del digitale. Durnate il percorso viene insegnato loro come istruire un’intelligenza artificiale, creando una chatbot. L'importanza di questo progetto è che vengono spiegati l'uso delle metodologie e strumenti, ma viene affidato alle giovani studentesse la creazione di un progetto. Gruppi di studentesse esprimono la loro creatività, energia e passione facendo il loro primi passi nel mondo della tecnologia, scoprendo che possono immaginare, sognare e costruire il loro futuro nel campo del digitale.",Studentesse scuole superiori 16-18 anni,ogni anno da Gennaio a Maggio ,Numero di studentesse che si iscrivono ad informatica che hanno seguito NERD,tutte le università italiane del settore digitale (al momento sono 13) + Elis per Roma,2019-10-29 19:03:13
Fondazione Mondo Digitale,Vagone FMD. Da 01 a 100,"“Vagone FMD. Da 01 a 100 “ è il programma che la Fondazione Mondo Digitale porta avanti da ottobre 2018 all’interno di Binario F, lo spazio di Facebook a Roma dedicato allo sviluppo delle competenze digitali. 
Un programma di inclusione aperto all’intera comunità per sensibilizzare e formare cittadini di tutte le età sul tema delle #digitalskills per crescere a livello personale, integrarsi in una società digitale in continua trasformazione e aumentare le proprie possibilità nel mercato del lavoro. Un vero e proprio “vagone dell’inclusione” dove il digitale e le opportunità da questo offerte diventano accessibili per tutti, nessuno escluso! 
Dai laboratori di alfabetizzazione digitale a percorsi per conoscere le potenzialità dei social network per fa crescere il proprio business, fino a programmi di coding dedicati alle studentesse e a format innovativi e agili per fare cultura digitale sui grandi temi d’attualità, dalle fake news agli hate speech. Il programma, sviluppato secondo il quadro di riferimento per le competenze digitali dei cittadini della Commissione europea, propone una didattica innovativa basata sull’uso delle nuove tecnologie digitali e sullo sviluppo di competenze per la vita e valori civici e sociali per la formazione di una cittadinanza consapevole, resiliente e preparata ad affrontare le sfide del futuro. ","Il programma si configura come un vero e proprio servizio pubblico per la collettività. Corsi di alfabetizzazione digitale coinvolgono i destinatari più “invisibili” e “irraggiungibili”, dalle casalinghe agli anziani e i migranti: in aula, insieme agli studenti delle scuole superiori nel ruolo di ITutor, imparano a navigare in Rete per non sentirsi esclusi e partecipare attivamente alla vita della città. I giovani prendono parte ai laboratori sulle professioni del futuro mentre percorsi di re-skill sono dedicati a docenti, dipendenti del Terzo settore, liberi professionisti e pubblica amministrazione.
Attraverso il programma “Vagone FMD. Da 01 a 100” la Fondazione Mondo Digitale propone anche sessioni brevi e agili per appassionare le persone “comuni” alla cultura digitale e alle sfide della contemporaneità: incontri con esperti sono pensati per far riflettere su tematiche attuali quali sicurezza in rete, privacy, fake news, hate speech, etica e robotica, intelligenza artificiale, cyberbullismo, ecc…",“Vagone FMD. Da 01 a 100” è stato lanciato a ottobre 2018 e sarà attivo per tutto il 2019. La programmazione per il 2020 è in fase di definizione.,"Storie di successo, testimonianze, racconti individuali e corali vengono raccolti settimanalmente nel blog “Vagone FMD” attraverso articoli, video interviste, immagini e animazioni. Un gruppo dedicato sulla pagina Facebook della Fondazione Mondo Digitale riunisce l’intera community che ruota attorno al programma, così come incontri e happy hour diventano il modo per scambiarsi opinioni ed esperienze, presentare storie ispiratrici e condividere best practice. Questionari e sondaggi vengono somministrati periodicamente per la valutazione delle attività e il follow up.",Facebook - Binario F,2019-07-19 17:13:52
Fondazione Pico,PICO,"PICO è il progetto di Alleanza delle Cooperative Italiane per supportare il sistema delle cooperative nella gestione del processo di innovazione e trasformazione digitale. Attraverso la Fondazione PICO, Legacoop, in accordo con AGCI e Confcooperative, intende affiancare: 
- le imprese cooperative, nella costruzione di competenze, strategie, progetti e strumenti utili a cogliere le opportunità della trasformazione digitale e a gestire i suoi impatti sul lavoro, sul mercato, sull’organizzazione, sui processi produttivi; 
- gli organismi di rappresentanza, nella ridefinizione del proprio ruolo di supporto, attraverso l’identificazione dei modelli di servizio e politiche economiche e sociali che tengano conto della specificità cooperativa nei processi di trasformazione ed innovazione digitale. 

La Fondazione PICO, Digital Innovation Hub riconosciuto dal Ministero per lo Sviluppo economico, intende assistere le imprese cooperative, attraverso servizi di comunicazione, divulgazione, formazione, consulenza, analisi, ricerca ed assistenza tecnica specialistica. Tali attività sono svolte con il supporto di una Rete di Nodi distribuiti su tutto territorio nazionale dedicati all’innovazione cooperativa, la Rete PICO, e grazie a partnership nazionali ed internazionali. ",Imprese cooperative,L'azione avrà inizio a Settembre 2019 e si protrarrà per tutto il 2020. ,"Indagine preventiva sulle esigenze (già effettuata), Test di gradimento degli incontri, analisi dei cambiamenti nelle organizzazioni contattate tramite follow-up a 6 e 12 mesi. ",Digital Transformation Institute,2019-08-01 19:07:14
